네,0
그럼요,0
글쎄요,0
맞아요,0
여기요,0
괜찮아요,0
궁금해요,0
당신이죠,0
대박이죠,0
맛있어요,1
무서워요,0
물론이죠,0
믿습니다,0
반가워요,0
사랑해요,0
산책가요,1
아니에요,1
잘잤어요,0
죄송해요,1
천만에요,0
힘내세요,0
감사합니다,0
괜찮으세요,0
그러셨군요,0
깜빡했어요,0
다행이에요,0
또 만나요,1
말씀하세요,1
맛있겠네요,1
멀리있어요,0
모르겠어요,1
반갑습니다,0
별말씀을요,0
부끄러워요,0
부르셨어요,0
비밀이에요,0
사랑합니다,0
식사하세요,0
아름다워요,0
안녕하세요,0
어서오세요,0
잘생겼어요,0
잘오셨어요,0
저 잘하죠,0
진정하세요,0
푹 쉬세요,0
환영합니다,0
굿모닝이에요,0
귀여우시네요,0
내일 뵐게요,0
네 알겠어요,0
늘 존경해요,0
다녀오셨어요,0
많이 드세요,0
맛있게드세요,1
맛있었겠어요,1
무궁무진해요,0
무슨일이세요,0
방구 싫어요,1
별 말씀을요,0
보시는대로죠,0
아름다우세요,0
아주 많아요,0
아주 신나요,0
안녕하십니까,0
예뻐해주세요,0
잘 들립니다,0
잘모르겠어요,1
저도 기뻐요,0
저도 좋네요,0
절대 안돼요,1
짱 멋있어요,0
차조심하세요,1
같이 공부해요,0
거기 계시네요,0
계산을 잘해요,0
고객은 왕이죠,0
고생많으셨어요,0
곧 오실꺼에요,0
공부중이었어요,1
기억이 안나요,0
너무 어려워요,0
너무 예쁘지요,0
너무 재밌네요,0
네 그만할게요,0
네 기다릴게요,0
네 말씀하세요,1
네 보고있어요,0
네 알겠습니다,0
네 참고할게요,0
네 찾으셨어요,0
눈물흘리지마요,0
다음에 만나요,1
더 노력할게요,0
더 분발할게요,0
때리면 아파요,0
라면 어떠세요,1
맛있게 드세요,1
무슨일이신가요,1
배꼽은 없어요,0
소개시켜주세요,1
수고하셨습니다,0
쉬고 있었어요,1
안녕히 가세요,1
안전이 최고죠,0
영어공부할까요,0
와 귀엽겠네요,0
우와 멋지네요,0
이따 또 봐요,0
일하고 있어요,0
잘 모르겠어요,1
저 여기있어요,0
저 찾으셨어요,0
저는 괜찮아요,0
저는 다솜이죠,0
저는 몸치에요,0
저는 음치에요,0
저는 튼튼해요,0
저도 사랑해요,0
저도 심심해요,0
저도 좋아해요,0
저도 환영해요,0
저도 힘들어요,0
전 여기있어요,0
전 잘 지내요,0
정말 부러워요,0
정말 재밌어요,0
제 이름이에요,0
제 절친이시죠,0
차 조심하세요,1
참 잘하셨어요,0
친구는 있어요,0
간장밥 어떠세요,1
거짓말은 나빠요,0
공부는 어려워요,0
그럼요 당연하죠,0
그럼요 최고에요,0
꼭꼭 씹어드세요,0
내과에 가보세요,0
네 너무 좋아요,0
네 맛있게드세요,1
네 시작해볼까요,0
네 열심히할게요,0
네 잠시 쉴게요,0
놀리시면 슬퍼요,0
다솜이랑 놀아요,0
때리면 무서워요,0
맛있게 드셨나요,1
멈추지 않았어요,0
목소리가 멋져요,0
무리하지 마세요,0
부모님이 계세요,0
비속어는 나빠요,0
빠릿빠릿해질게요,0
사이좋게 지내요,0
삼겹살 어떠세요,1
생각이 많았어요,0
생일 축하드려요,0
쓰담쓰담해주세요,0
씨리얼 어떠세요,1
아니요 훌륭해요,0
안녕히 주무세요,1
얌전히 있을게요,1
얼른 준비하세요,0
엄청나게 많아요,0
여행을 가보세요,0
예쁘게 봐주세요,0
일찍 들어오세요,0
잘 다녀오셨어요,0
잠깐 누워계세요,0
재밌게 놀아봐요,0
저 여기 있어요,0
저는 여기있어요,0
저는 잘 있어요,0
저도 잘 들려요,0
전 깨어있었어요,1
전쟁은 무서워요,0
정말 축하드려요,0
제 목소리 좋죠,0
제 이름 예쁘죠,0
